ID,Package,Title,Severity,Vulnerable Versions,Patched Versions,Overview
1102664,tsup,tsup DOM Clobbering vulnerability,low,<=8.3.4,<0.0.0,A DOM Clobbering vulnerability in tsup v8.3.4 allows attackers to execute arbitrary code via a crafted script in the import.meta.url to document.currentScript in cjs_shims.js components
1112715,js-yaml,js-yaml has prototype pollution in merge (<<),moderate,>=4.0.0 <4.1.1,>=4.1.1,### Impact

In js-yaml 4.1.0; 4.0.0; and 3.14.1 and below; it's possible for an attacker to modify the prototype of the result of a parsed yaml document via prototype pollution (`__proto__`). All user
1113715,ajv,ajv has ReDoS when using `$data` option,moderate,>=7.0.0-alpha.0 <8.18.0,>=8.18.0,ajv (Another JSON Schema Validator) through version 8.17.1 is vulnerable to Regular Expression Denial of Service (ReDoS) when the `$data` option is enabled. The pattern keyword accepts runtime data vi
1115541,brace-expansion,brace-expansion: Zero-step sequence causes process hang and memory exhaustion,moderate,>=2.0.0 <2.0.3,>=2.0.3,### Impact

A brace pattern with a zero step value (e.g.; `{1..2..0}`) causes the sequence generation loop to run indefinitely; making the process hang for seconds and allocate heaps of memory.

The l